"ABBREVIATE
","Ab*bre""vi*ate",a.,,,
"ABBREVIATE
","Ab*bre""vi*ate",,,,
"ABBREVIATED
","Ab*bre""vi*a`ted",,,,
"ABBREVIATION
","Ab*bre`vi*a""tion",n.,,,
"ABBREVIATOR
","Ab*bre""vi*a`tor",n.,,,
"ABBREVIATORY
","Ab*bre""vi*a*to*ry",,,,
"ABBREVIATURE
","Ab*bre""vi*a*ture",,,,
"ABB WOOL
",,,,,
"A B C
",,,,,
"ABDAL
","Ab""dal",n.,,,
"ABDERIAN
","Ab*de""ri*an",a.,,,
"ABDERITE
","Ab*de""rite",n.,,,
"ABDEST
","Ab""dest",n.,,,
"ABDICABLE
","Ab""di*ca*ble",,,,
"ABDICANT
","Ab""di*cant",a.,,,
"ABDICANT
","Ab""di*cant",,,,
"ABDICATE
","Ab""di*cate",,,,
"ABDICATE
","Ab""di*cate",,,,
"ABDICATION
","Ab`di*ca""tion",n.,,,
"ABDICATIVE
","Ab""di*ca*tive",a.,,,
"ABDICATOR
","Ab""di*ca`tor",,,,
"ABDITIVE
","Ab""di*tive",a.,,,
"ABDITORY
","Ab""di*to*ry",n.,,,
"ABDOMEN
","Ab*do""men",n.,,,
"ABDOMINAL
","Ab*dom""i*nal",a.,,,
"ABDOMINAL
","Ab*dom""i*nal",,,,
"ABDOMINALES
","Ab*dom`i*na""les",n.,,,
"ABDOMINALIA
","Ab*dom`i*na""li*a",n.,,,
"ABDOMINOSCOPY
","Ab*dom`i*nos""co*py",n.,,,
"ABDOMINOTHORACIC
","Ab*dom`i*no*tho*rac""ic",,,,
"ABDOMINOUS
","Ab*dom""i*nous",,,,
"ABDUCE
","Ab*duce""",,,,
"ABDUCT
","Ab*duct""",,,,
"ABDUCTION
","Ab*duc""tion",n.,,,
"ABDUCTOR
","Ab*duc""tor",n.,,,
"ABEAM
","A*beam""",adv.,,,
"ABEAR
","A*bear""",,,,
"ABEARANCE
","A*bear""ance",,,,
"ABEARING
","A*bear""ing",,,,
"ABECEDARIAN
","A`be*ce*da""ri*an",n.,,,
"ABECEDARIAN; ABECEDARY
","A`be*ce*da""ri*an",,,,
"ABECEDARY
","A`be*ce""da*ry",,,,
"ABED
","A*bed""",adv.,,,
"ABEGGE
","A*beg""ge.
",,,,
"ABELE
","A*bele""",n.,,,
"ABELIAN; ABELITE; ABELONIAN
","A*bel""i*an",n.,,,
"ABELMOSK
","A""bel*mosk`",n.,,,
"ABER-DE-VINE
","Ab`er-de-vine""",n.,,,
"ABERR
","Ab*err""",,,,
"ABERRANCE; ABERRANCY
","Ab*er""rance",,,,
"ABERRANT
","Ab*er""rant",a.,,,
"ABERRATE
","Ab""er*rate",,,,
"ABERRATION
","Ab`er*ra""tion",n.,,,
"ABERRATIONAL
","Ab`er*ra""tion*al",,,,
"ABERUNCATE
","Ab`e*run""cate",,,,
"ABERUNCATOR
","Ab`e*run""ca*tor",,,,
"ABET
","A*bet""",,,,
"ABET
","A*bet""",n.,,,
"ABETMENT
","A*bet""ment",,,,
"ABETTAL
","A*bet""tal",,,,
"ABETTER; ABETTOR
","A*bet""ter",,,,
"ABEVACUATION
","Ab`e*vac""u*a""tion",n.,,,
"ABEYANCE
","A*bey""ance",n.,,,
"ABEYANCY
","A*bey""an*cy",,,,
"ABEYANT
","A*bey""ant",,,,
"ABGEORDNETENHAUS
","Ab""ge*ord`ne*ten*haus`",n.,,,
"ABHAL
","Ab""hal",,,,
"ABHOMINABLE
","Ab*hom""i*na*ble",,,,
"ABHOMINAL
",Ab*hom`i*nal,a.,,,
"ABHOR
","Ab*hor""",v.,,,
"ABHOR
","Ab*hor""",v.,,,
"ABHORRENCE
","Ab*hor""rence",,,,
"ABHORRENCY
","Ab*hor""ren*cy",,,,
"ABHORRENT
","Ab*hor""rent",a.,,,
"ABHORRENTLY
","Ab*hor""rent*ly",,,,
"ABHORRER
","Ab*hor""rer",,,,
"ABHORRIBLE
","Ab*hor""ri*ble",,,,
"ABHORRING
","Ab*hor""ring",,,,
"ABIB
","A""bib",n.,,,
"ABIDANCE
","A*bid""ance",,,,
"ABIDE
","A*bide""",v.,,,
"ABIDE
","A*bide""",v.,,,
"ABIDER
","A*bid""er",,,,
"ABIDING
","A*bid""ing",,,,
"ABIDINGLY
","A*bid""ing*ly",,,,
"ABIES
","A""bi*es",n.,,,
"ABIETENE
","Ab""i*e*tene",n.,,,
"ABIETIC
","Ab`i*et""ic",,,,
"ABIETIN; ABIETINE
","Ab""i*e*tin",n.,,,
"ABIETINIC
","Ab`i*e*tin""ic",,,,
"ABIETITE
","Ab""i*e*tite",n.,,,
"ABIGAIL
","Ab""i*gail",n.,,,
"ABILIMENT
","A*bil""i*ment",,,,
"ABILITY
","A*bil""i*ty",,,,
"ABIME; ABYME
",,n.,,,
"ABIOGENESIS
","Ab`i*o*gen""e*sis",n.,,,
"ABIOGENETIC
","Ab`i*o*ge*net""ic",a.,,,
"ABIOGENIST
","Ab`i*og""e*nist",n.,,,
"ABIOGENOUS
","Ab`i*og""e*nous",a.,,,
"ABIOGENY
","Ab`i*og""e*ny",n.,,,
"ABIOLOGICAL
","Ab`i*o*log""ic*al",a.,,,
"ABIRRITANT
","Ab*ir""ri*tant",n.,,,
"ABIRRITATE
","Ab*ir""ri*tate",v.,,,
"ABIRRITATION
","Ab*ir`ri*ta""tion",n.,,,
"ABIRRITATIVE
","Ab*ir""ri*ta*tive",a.,,,
"ABIT
","A*bit""",,,,
"ABJECT
","Ab""ject",a.,,,
"ABJECT
","Ab*ject""",v.,,,
"ABJECT
","Ab""ject",,,,
"ABJECTEDNESS
","Ab*ject""ed*ness",,,,
"ABJECTION
","Ab*jec""tion",n.,,,
"ABJECTLY
","Ab""ject*ly",,,,
"ABJECTNESS
","Ab""ject*ness",,,,
"ABJUDGE
","Ab*judge""",v.,,,
"ABJUDICATE
","Ab*ju""di*cate",v.,,,
"ABJUDICATION
","Ab*ju`di*ca""tion",,,,
"ABJUGATE
","Ab""ju*gate",v.,,,
"ABJUNCTIVE
","Ab*junc""tive",a.,,,
"ABJURATION
","Ab`ju*ra""tion",n.,,,
"ABJURATORY
","Ab*ju""ra*to*ry",,,,
"ABJURE
","Ab*jure""",v.,,,
"ABJURE
","Ab*jure""",v.,,,
"ABJUREMENT
","Ab*jure""ment",,,,
"ABJURER
","Ab*jur""er",,,,
"ABLACTATE
","Ab*lac""tate",v.,,,
"ABLACTATION
",,,,,
"ABLAQUEATE
","Ab*la""que*ate",v.,,,
"ABLAQUEATION
","Ab*la`que*a""tion",n.,,,
"ABLASTEMIC
","Ab`las*tem""ic",a.,,,
"ABLATION
","Ab*la""tion",n.,,,
"ABLATITIOUS
","Ab`la*ti""tious",,,,
"ABLATIVE
","Ab""la*tive",a.,,,
"ABLATIVE
","Ab""la*tive",,,,
"ABLAUT
","Ab""laut",n.,,,
"ABLAZE
","A*blaze""",adv.,,,
"ABLE
","A""ble",a.,,,
"ABLE
","A""ble",v.,,,
"ABLE; -ABLE; IBLE; -IBLE
",,,,,
"ABLE-BODIED
","A`ble-bod""ied",,,,
"ABLEGATE
","Ab""le*gate",v.,,,
"ABLEGATE
","Ab""le*gate",n.,,,
"ABLEGATION
","Ab`le*ga""tion",n.,,,
"ABLE-MINDED
","A`ble-mind""ed",,,,
"ABLENESS
","A""ble*ness",,,,
"ABLEPSY
","Ab""lep*sy",n.,,,
"ABLER
","A""bler",,,,
"ABLET; ABLEN
","Ab""let",,,,
"ABLIGATE
","Ab""li*gate",v.,,,
"ABLIGURITION
","Ab*lig`u*ri""tion",n.,,,
"ABLINS
","A""blins",adv.,,,
"ABLOOM
","A*bloom""",adv.,,,
"ABLUDE
","Ab*lude""",v.,,,
"ABLUENT
","Ab""lu*ent",a.,,,
"ABLUSH
","A*blush""",adv.,,,
"ABLUTION
",Ab*lu`tion,n.,,,
"ABLUTIONARY
","Ab*lu""tion*a*ry",,,,
"ABLUVION
","Ab*lu""vi*on",n.,,,
"ABLY
","A""bly",,,,
"-ABLY
","-a*bly(#).
",,,,
"ABNEGATE
","Ab""ne*gate",v.,,,
"ABNEGATION
","Ab`ne*ga""tion",n.,,,
"ABNEGATIVE
","Ab""ne*ga*tive",a.,,,
"ABNEGATOR
","Ab""ne*ga`tor(#)",n.,,,
"ABNET
","Ab""net",n.,,,
"ABNODATE
","Ab""no*date",v.,,,
"ABNODATION
","Ab`no*da""tion",,,,
"ABNORMAL
","Ab*nor""mal",a.,,,
"ABNORMALITY
","Ab`nor*mal""i*ty",,,,
"ABNORMALLY
","Ab*nor""mal*ly",,,,
"ABNORMITY
","Ab*nor""mi*ty",,,,
"ABNORMOUS
","Ab*nor""mous",a.,,,
"ABOARD
","A*board""",adv.,,,
"ABOARD
","A*board""",,,,
"ABODANCE
","A*bod""ance",n.,,,
"ABODE
","A*bode""",,,,
"ABODE
","A*bode""",n.,,,
"ABODE
","A*bode""",v.,,,
"ABODE
","A*bode""",v.,,,
"ABODE
","A*bode""",v.,,,
"ABODEMENT
","A*bode""ment",,,,
"ABODING
","A*bod""ing",,,,
"ABOLISH
","A*bol""ish",v.,,,
"ABOLISHABLE
","A*bol""ish*a*ble",a.,,,
"ABOLISHER
","A*bol""ish*er",,,,
"ABOLISHMENT
","A*bol""ish*ment",n.,,,
"ABOLITION
","Ab""o*li""tion",n.,,,
"ABOLITIONISM
","Ab`o*li""tion*ism",,,,
"ABOLITIONIST
","Ab`o*li""tion*ist",,,,
"ABOLITIONIZE
",Ab`o*li`tion*ize,v.,,,
"ABOMA
","A*bo""ma",n.,,,
"ABOMASUM; ABOMASUS
","Ab`o*ma""sum",n.,,,
"ABOMINABLE
","A*bom""i*na*ble",a.,,,
"ABOMINABLENESS
","A*bom""i*na*ble*ness",,,,
"ABOMINABLY
","A*bom""i*na*bly",,,,
"ABOMINATE
","A*bom""i*nate",v.,,,
"ABOMINATION
","A*bom`i*na""tion",n.,,,
"ABOON
","A*boon""",,,,
"ABORAL
","Ab*o""ral",a.,,,
"ABORD
","A*bord""",n.,,,
"ABORD
","A*bord""",v.,,,
"ABORIGINAL
","Ab`o*rig""i*nal",a.,,,
"ABORIGINAL
","Ab`o*rig""i*nal",,,,
"ABORIGINALITY
","Ab`o*rig`i*nal""i*ty",,,,
"ABORIGINALLY
","Ab`o*rig""i*nal*ly",,,,
"ABORIGINES
","Ab`o*rig""i*nes",n.,,,
"ABORSEMENT
","A*borse""ment",,,,
"ABORSIVE
","A*bor""sive",,,,
"ABORT
","A*bort""",v.,,,
"ABORT
","A*bort""",n.,,,
"ABORTED
","A*bort""ed",,,,
"ABORTICIDE
","A*bor""ti*cide",n.,,,
"ABORTIFACIENT
","A*bor`ti*fa""cient",a.,,,
"ABORTION
","A*bor""tion",n.,,,
"ABORTIONAL
","A*bor""tion*al",,,,
"ABORTIONIST
","A*bor""tion*ist",,,,
"ABORTIVE
","A*bor""tive",a.,,,
"ABORTIVE
","A*bor""tive",,,,
"ABORTIVELY
","A*bor""tive*ly",,,,
"ABORTIVENESS
","A*bor""tive*ness",,,,
"ABORTMENT
","A*bort""ment",,,,
"ABOUGHT
","A*bought""",,,,
"ABOUND
","A*bound""",v.,,,
"ABOUT
","A*bout""",prep.,,,
"ABOUT
","A*bout""",,,,
"ABOUT-SLEDGE
","A*bout""-sledge""",,,,
"ABOVE
","A*bove""",prep.,,,
"ABOVE
","A*bove""",,,,
"ABOVEBOARD
","A*bove""board`",,,,
"ABOVE-CITED
","A*bove""-cit`ed",,,,
"ABOVEDECK
","A*bove""deck`",,,,
"ABOVE-MENTIONED; ABOVE-NAMED
","A*bove""-men`tioned",,,,
"ABOVESAID
","A*bove""said`",,,,
"ABOX
","A*box""",adv.,,,
"ABRA
","A""bra",n.,,,
"ABRACADABRA
","Ab`ra*ca*dab""ra",n.,,,
"ABRADANT
","Ab*ra""dant",,,,
"ABRADE
","Ab*rade""",v.,,,
"ABRADE
","A*brade""",v.,,,
"ABRAHAMIC
","A`bra*ham""ic",,,,
"ABRAHAMITIC; ABRAHAMITICAL
","A`bra*ham*it""ic",,,,
"ABRAHAM-MAN; ABRAM-MAN
",,n.,,,
"ABRAID
","A*braid""",v.,,,
"ABRANCHIAL
","A*bran""chi*al",a.,,,
"ABRANCHIATA
","A*bran`chi*a""ta",n.,,,
"ABRANCHIATE
","A*bran""chi*ate",a.,,,
"ABRASE
","Ab*rase""",a.,,,
"ABRASION
","Ab*ra""sion",n.,,,
"ABRASIVE
","Ab*ra""sive",,,,
"ABRAUM; ABRAUM SALTS
",,n.,,,
"ABRAXAS
","A*brax""as",n.,,,
"ABRAY
","A*bray""",v.,,,
"ABREACTION
","Ab`re*ac""tion",n.,,,
"ABREAST
","A*breast""",adv.,,,
"ABREGGE
","A*breg""ge",v.,,,
"ABRENOUNCE
","Ab`re*nounce""",v.,,,
"ABRENUNCIATION
","Ab`re*nun`ci*a""tion",n.,,,
"ABREPTION
","Ab*rep""tion",n.,,,
"ABREUVOIR
","A`breu`voir""",n.,,,
"ABRICOCK
","A""bri*cock",,,,
"ABRIDGE
","A*bridge""",v.,,,
"ABRIDGER
","A*bridg""er",,,,
"ABRIDGMENT
","A*bridg""ment",n.,,,
"ABROACH
","A*broach""",v.,,,
"ABROACH
","A*broach""",adv.,,,
"ABROAD
","A*broad""",adv.,,,
"ABROGABLE
","Ab""ro*ga*ble",,,,
"ABROGATE
","Ab""ro*gate",a.,,,
"ABROGATE
","Ab""ro*gate",v.,,,
"ABROGATION
","Ab`ro*ga""tion",n.,,,
"ABROGATIVE
","Ab""ro*ga*tive",,,,
"ABROGATOR
","Ab""ro*ga`tor",,,,
"ABROOD
","A*brood""",adv.,,,
"ABROOK
","A*brook""",v.,,,
"ABRUPT
","Ab*rupt""",a.,,,
"ABRUPT
","Ab*rupt""",n.,,,
"ABRUPT
","Ab*rupt""",v.,,,
"ABRUPTION
","Ab*rup""tion",n.,,,
"ABRUPTLY
","Ab*rupt""ly",,,,
"ABRUPTNESS
","Ab*rupt""ness",,,,
"ABSCESS
","Ab""scess",,,,
"ABSCESSION
","Ab*sces""sion",n.,,,
"ABSCIND
","Ab*scind""",v.,,,
"ABSCISION
","Ab*sci""sion",n.,,,
"ABSCISS
","Ab""sciss",,,,
"ABSCISSA
","Ab*scis""sa",,,,
"ABSCISSION
","Ab*scis""sion",n.,,,
"ABSCOND
","Ab*scond""",v.,,,
"ABSCOND
","Ab*scond""",v.,,,
"ABSCONDENCE
","Ab*scond""ence",,,,
"ABSCONDER
","Ab*scond""er",,,,
"ABSENCE
","Ab""sence",n.,,,
"ABSENT
","Ab""sent",a.,,,
"ABSENT
","Ab*sent""",v.,,,
"ABSENTANEOUS
","Ab`sen*ta""ne*ous",a.,,,
"ABSENTATION
","Ab`sen*ta""tion",,,,
"ABSENTEE
","Ab`sen*tee""",,,,
"ABSENTEEISM
","Ab`sen*tee""ism",,,,
"ABSENTER
","Ab*sent""er",,,,
"ABSENTLY
","Ab""sent*ly",,,,
"ABSENTMENT
","Ab*sent""ment",,,,
"ABSENT-MINDED
","Ab`sent-mind""ed(#)",,,,
"ABSENTNESS
","Ab""sent*ness",,,,
"ABSEY-BOOK
","Ab""sey-book`(#)",,,,
"ABSINTHATE
","Ab""sin""thate",n.,,,
"ABSINTHE; ABSINTH
","Ab""sinthe`",n.,,,
"ABSINTHIAL
","Ab*sin""thi*al",,,,
"ABSINTHIAN
","Ab*sin""thi*an",,,,
"ABSINTHIATE
","Ab""sin""thi*ate",v.,,,
"ABSINTHIATED
","Ab*sin""thi*a`ted",,,,
"ABSINTHIC
","Ab*sin""thic",a.,,,
"ABSINTHIN
","Ab*sin""thin",n.,,,
"ABSINTHISM
","Ab""sin*thism",,,,
"ABSINTHIUM
","Ab*sin""thi*um",n.,,,
"ABSIS
","Ab""sis",,,,
"ABSIST
","Ab*sist""",v.,,,
"ABSISTENCE
","Ab*sist""ence",,,,
"ABSOLUTE
","Ab""so*lute",a.,,,
"ABSOLUTE
","Ab""so*lute",n.,,,
"ABSOLUTELY
","Ab""so*lute*ly",,,,
"ABSOLUTENESS
","Ab""so*lute*ness",,,,
"ABSOLUTION
","Ab`so*lu""tion",n.,,,
"ABSOLUTISM
","Ab""so*lu`tism",,,,
"ABSOLUTIST
","Ab""so*lu`tist",,,,
"ABSOLUTIST
","Ab""so*lu`tist",,,,
"ABSOLUTISTIC
","Ab`so*lu*tis""tic",,,,
"ABSOLUTORY
","Ab*sol""u*to*ry",a.,,,
"ABSOLVABLE
","Ab*solv""a*ble",,,,
"ABSOLVATORY
","Ab*solv""a*to*ry",,,,
"ABSOLVE
",,v.,,,
"ABSOLVENT
","Ab*solv""ent",a.,,,
"ABSOLVENT
","Ab*solv""ent",,,,
"ABSOLVER
","Ab*solv""er",,,,
"ABSONANT
","Ab""so*nant",a.,,,
"ABSONOUS
","Ab""so*nous",a.,,,
"ABSORB
","Ab*sorb""",v.,,,
"ABSORBABILITY
","Ab*sorb`a*bil""i*ty",,,,
"ABSORBABLE
","Ab*sorb""a*ble",a.,,,
"ABSORBEDLY
","Ab*sorb""ed*ly",,,,
"ABSORBENCY
","Ab*sorb""en*cy",,,,
"ABSORBENT
","Ab*sorb""ent",a.,,,
"ABSORBENT
","Ab*sorb""ent",,,,
"ABSORBER
","Ab*sorb""er",,,,
"ABSORBING
","Ab*sorb""ing",,,,
"ABSORBITION
","Ab`sor*bi""tion",,,,
"ABSORPT
",Ab*sorpt`,a.,,,
"ABSORPTION
","Ab*sorp""tion",n.,,,
"ABSORPTIVE
","Ab*sorp""tive",,,,
"ABSORPTIVENESS
","Ab*sorp""tive*ness",,,,
"ABSORPTIVITY
","Ab`sorp*tiv""i*ty",,,,
"ABSQUATULATE
","Ab*squat""u*late",v.,,,
"ABSQUE HOC
",,,,,
"ABSTAIN
","Ab*stain""",v.,,,
"ABSTAIN
","Ab*stain""",v.,,,
"ABSTAINER
","Ab*stain""er",,,,
"ABSTEMIOUS
","Ab*ste""mi*ous",a.,,,
"ABSTEMIOUSNESS
","Ab*ste""mi*ous*ness",,,,
"ABSTENTION
","Ab*sten""tion",a.,,,
"ABSTENTIOUS
","Ab*sten""tious",,,,
"ABSTERGE
",Ab*sterge,v.,,,
"ABSTERGENT
","Ab*ster""gent",a.,,,
"ABSTERGENT
","Ab*ster""gent",,,,
"ABSTERSE
","Ab*sterse""",v.,,,
"ABSTERSION
","Ab*ster""sion",n.,,,
"ABSTERSIVE
","Ab*ster""sive",a.,,,
"ABSTERSIVE
","Ab*ster""sive",,,,
"ABSTERSIVENESS
","Ab*ster""sive*ness",,,,
"ABSTINENCE
","Ab""sti*nence",n.,,,
"ABSTINENCY
","Ab""sti*nen*cy",,,,
"ABSTINENT
","Ab""sti*nent",a.,,,
"ABSTINENT
","Ab""sti*nent",,,,
"ABSTINENTLY
","Ab""sti*nent*ly",,,,
"ABSTORTED
","Ab*stort""ed",a.,,,
"ABSTRACT
",,a.,,,
"ABSTRACT
","Ab*stract""",v.,,,
"ABSTRACT
","Ab*stract""",v.,,,
"ABSTRACT
","Ab""stract`",n.,,,
"ABSTRACTED
","Ab*stract""ed",,,,
"ABSTRACTEDLY
","Ab*stract""ed*ly",,,,
"ABSTRACTEDNESS
","Ab*stract""ed*ness",,,,
"ABSTRACTER
","Ab*stract""er",,,,
"ABSTRACTION
","Ab*strac""tion",n.,,,
"ABSTRACTIONAL
","Ab*strac""tion*al",,,,
"ABSTRACTIONIST
","Ab*strac""tion*ist",,,,
"ABSTRACTITIOUS
","Ab`strac*ti""tious",,,,
"ABSTRACTIVE
","Ab*strac""tive",a.,,,
"ABSTRACTIVELY
","Ab*strac""tive*ly",,,,
"ABSTRACTIVENESS
","Ab*strac""tive*ness",,,,
"ABSTRACTLY
",,,,,
"ABSTRACTNESS
","Ab""stract`ness",,,,
"ABSTRINGE
","Ab*stringe""",v.,,,
"ABSTRUDE
","Ab*strude""",v.,,,
"ABSTRUSE
","Ab*struse""",a.,,,
"ABSTRUSELY
","Ab*struse""ly",,,,
"ABSTRUSENESS
","Ab*struse""ness",,,,
"ABSTRUSION
","Ab*stru""sion",n.,,,
"ABSTRUSITY
","Ab*stru""si*ty",,,,
"ABSUME
","Ab*sume""",v.,,,
"ABSUMPTION
",,n.,,,
"ABSURD
","Ab*surd""",a.,,,
"ABSURD
","Ab*surd""",,,,
"ABSURDITY
","Ab*surd""i*ty",,,,
"ABSURDLY
","Ab*surd""ly",,,,
"ABSURDNESS
","Ab*surd""ness",,,,
"ABUNA
","A*bu""na",n.,,,
"ABUNDANCE
","A*bun""dance",n.,,,
"ABUNDANT
","A*bun""dant",a.,,,
"ABUNDANTLY
","A*bun""dant*ly",,,,
"ABURST
","A*burst""",adv.,,,
"ABUSABLE
","A*bus""a*ble",,,,
"ABUSAGE
","A*bus""age",,,,
"ABUSE
","A*buse""",v.,,,
"ABUSE
","A*buse""",v.,,,
"ABUSEFUL
","A*buse""ful",,,,
"ABUSER
","A*bus""er",,,,
"ABUSION
","A*bu""sion",n.,,,
"ABUSIVE
","A*bu""sive",a.,,,
"ABUSIVELY
","A*bu""sive*ly",,,,
"ABUSIVENESS
","A*bu""sive*ness",,,,
"ABUT
","A*but""",v.,,,
"ABUTILON
","A*bu""ti*lon",n.,,,
"ABUTMENT
","A*but""ment",,,,
"ABUTTAL
","A*but""tal",,,,
"ABUTTER
","A*but""ter",,,,
"ABUZZ
","A*buzz""",a.,,,
"ABY; ABYE
","A*by""",v.,,,
"ABYSM
","A*bysm""",n.,,,
"ABYSMAL
","A*bys""mal",,,,
"ABYSMALLY
","A*bys""mal*ly",,,,
"ABYSS
","A*byss""",n.,,,
"ABYSSAL
","A*byss""al",a.,,,
"ABYSSINIAN
","Ab`ys*sin""i*an",,,,
"ABYSSINIAN
","Ab`ys*sin""i*an",,,,
"ACACIA
","A*ca""ci*a",n.,,,
"ACACIA
","A*ca""cia",,,,
"ACACIN; ACACINE
","Ac""a*cin",,,,
"ACADEME
","Ac`a*deme""",n.,,,
"ACADEMIAL
","Ac`a*de""mi*al",,,,
"ACADEMIAN
","Ac`a*de""mi*an",,,,
"ACADEMIC
","Ac`a*dem""ic",,,,
"ACADEMIC; ACADEMICAL
","Ac`a*dem""ic",a.,,,
"ACADEMICALLY
",Ac`a*dem`ic*al*ly,,,,
"ACADEMICALS
","Ac`a*dem""ic*als",n.,,,
"ACADEMICIAN
",,n.,,,
"ACADEMICISM
","Ac`a*dem""i*cism",,,,
"ACADEMISM
","A*cad""e*mism",,,,
"ACADEMIST
","A*cad""e*mist",n.,,,
"ACADEMY
","A*cad""e*my",,,,
"ACADIAN
","A*ca""di*an",,,,
"ACAJOU
","Ac""a*jou",n.,,,
"ACALEPH; ACALEPHAN
","Ac""a*leph",,,,
"ACALEPHAE
","Ac`a*le""phæ",n.,,,
"ACALEPHOID
","Ac`ale""phoid",a.,,,
"ACALYCINE; ACALYSINOUS
","A*cal""y*cine",a.,,,
"ACANTH
","A*canth""",,,,
"ACANTHA
","A*can""tha",n.,,,
"ACANTHACEOUS
","Ac""an*tha""ceous",,,,
"ACANTHINE
","A*can""thine",a.,,,
"ACANTHOCARPOUS
","A*can`tho*car""pous",a.,,,
"ACANTHOCEPHALA
","A*can`tho*ceph""a*la",n.,,,
"ACANTHOCEPHALOUS
","A*can`tho*ceph""a*lous",a.,,,
"ACANTHOPHOROUS
","Ac`an*thoph""o*rous",a.,,,
"ACANTHOPODIOUS
","A*can`tho*po""di*ous",a.,,,
"ACANTHOPTERI
","Ac`an*thop""ter*i",n.,,,
"ACANTHOPTEROUS
","Ac`an*thop""ter*ous",a.,,,
"ACANTHOPTERYGIAN
","Ac`an*thop`ter*yg""i*an",a.,,,
"ACANTHOPTERYGII
","Ac`an*thop`ter*yg""i*i",n.,,,
"ACANTHOPTERYGIOUS
","Ac`an*thop`ter*yg""i*ous",a.,,,
"ACANTHUS
","A*can""thus",,,,
